,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
0,word,ositus,12.0,Times New Roman,20,-15,0.35,word_ositus.png,ö _ _ _ _ _,False,word_ositus_question.png,10,False
1,word,salaus,155.0,Times New Roman,30,15,0.2,word_salaus.png,_ a _ _ _ _,True,word_salaus_question.png,10,False
2,word,ääriin,271.0,Comic Sans MS,30,-15,0.35,word_ääriin.png,_ ö _ _ _ _,False,word_ääriin_question.png,10,False
3,symbols,d^^do,,DejaVu Sans,20,15,0.5,symbols_d^^do.png,_ ^ _ _ _,True,symbols_d^^do_question.png,30,False
4,symbols,^ddv,,DejaVu Sans,20,-15,0.35,symbols_^ddv.png,_ _ _ v,True,symbols_^ddv_question.png,30,False
5,word,hioa,318.0,Times New Roman,40,0,0.2,word_hioa.png,_ _ p _,False,word_hioa_question.png,10,True
6,word,ajos,8.0,Impact,30,0,0.2,word_ajos.png,a _ _ _,True,word_ajos_question.png,10,False
7,consonants,xnbrh,,Times New Roman,40,-15,0.5,consonants_xnbrh.png,x _ _ _ _,True,consonants_xnbrh_question.png,20,False
8,symbols,^vod,,DejaVu Sans,30,15,0.2,symbols_^vod.png,s _ _ _,False,symbols_^vod_question.png,30,False
9,symbols,^ooso,,DejaVu Sans,40,15,0.35,symbols_^ooso.png,d _ _ _ _,False,symbols_^ooso_question.png,30,True
10,word,pöty,11.0,Comic Sans MS,20,15,0.5,word_pöty.png,_ j _ _,False,word_pöty_question.png,10,False
11,word,ilkiö,29.0,Times New Roman,30,0,0.2,word_ilkiö.png,_ _ _ _ ö,True,word_ilkiö_question.png,10,False
12,word,otsoni,17.0,Times New Roman,30,0,0.35,word_otsoni.png,_ _ _ _ ü _,False,word_otsoni_question.png,10,False
13,symbols,sdvd^,,DejaVu Sans,30,0,0.5,symbols_sdvd^.png,_ _ d _ _,False,symbols_sdvd^_question.png,30,False
14,word,nisä,7.0,Comic Sans MS,30,-15,0.5,word_nisä.png,_ _ _ y,False,word_nisä_question.png,10,False
15,consonants,brsjjh,,Impact,40,15,0.35,consonants_brsjjh.png,_ _ _ _ _ l,False,consonants_brsjjh_question.png,20,True
16,word,nuha,140.0,Times New Roman,30,-15,0.2,word_nuha.png,_ _ _ u,False,word_nuha_question.png,10,False
17,word,kihu,7.0,Impact,30,0,0.5,word_kihu.png,d _ _ _,False,word_kihu_question.png,10,False
18,word,säkä,279.0,Times New Roman,40,15,0.2,word_säkä.png,l _ _ _,False,word_säkä_question.png,10,False
19,word,duuri,8.0,Impact,40,15,0.5,word_duuri.png,_ _ _ r _,True,word_duuri_question.png,10,False
