,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
0,consonants,txhs,,Impact,40,0,0.5,consonants_txhs.png,_ x _ _,True,consonants_txhs_question.png,20,False
1,symbols,svvd,,DejaVu Sans,30,0,0.35,symbols_svvd.png,_ v _ _,True,symbols_svvd_question.png,30,False
2,consonants,rfclk,,Comic Sans MS,30,0,0.5,consonants_rfclk.png,_ _ _ _ k,True,consonants_rfclk_question.png,20,False
3,word,syaani,10.0,Times New Roman,20,-15,0.5,word_syaani.png,s _ _ _ _ _,True,word_syaani_question.png,10,True
4,word,siitos,12.0,Comic Sans MS,30,-15,0.2,word_siitos.png,i _ _ _ _ _,False,word_siitos_question.png,10,False
5,symbols,odos,,DejaVu Sans,30,15,0.2,symbols_odos.png,s _ _ _,False,symbols_odos_question.png,30,False
6,symbols,vv^^,,DejaVu Sans,20,0,0.2,symbols_vv^^.png,s _ _ _,False,symbols_vv^^_question.png,30,False
7,symbols,d^v^^,,DejaVu Sans,20,-15,0.35,symbols_d^v^^.png,_ ^ _ _ _,True,symbols_d^v^^_question.png,30,False
8,word,uiva,29.0,Times New Roman,40,15,0.2,word_uiva.png,d _ _ _,False,word_uiva_question.png,10,False
9,word,pamppu,197.0,Comic Sans MS,20,0,0.35,word_pamppu.png,_ _ _ _ q _,False,word_pamppu_question.png,10,True
10,word,oinas,74.0,Comic Sans MS,30,-15,0.2,word_oinas.png,o _ _ _ _,True,word_oinas_question.png,10,False
11,word,estyä,6.0,Impact,20,0,0.35,word_estyä.png,e _ _ _ _,True,word_estyä_question.png,10,False
12,word,hormi,15.0,Comic Sans MS,30,0,0.2,word_hormi.png,_ _ r _ _,True,word_hormi_question.png,10,False
13,word,uivelo,6.0,Times New Roman,20,0,0.5,word_uivelo.png,_ _ _ _ _ o,True,word_uivelo_question.png,10,False
14,consonants,hjqc,,Times New Roman,20,15,0.2,consonants_hjqc.png,m _ _ _,False,consonants_hjqc_question.png,20,False
15,symbols,^svs^,,DejaVu Sans,40,0,0.2,symbols_^svs^.png,_ _ _ d _,False,symbols_^svs^_question.png,30,True
16,symbols,vsd^ds,,DejaVu Sans,40,-15,0.2,symbols_vsd^ds.png,_ _ _ o _ _,False,symbols_vsd^ds_question.png,30,False
17,consonants,bjwqk,,Times New Roman,40,-15,0.35,consonants_bjwqk.png,b _ _ _ _,True,consonants_bjwqk_question.png,20,False
